"location","source","target"
"","biderrorbody.Description1","Για λόγους ασφάλειας, η <<BRAND>> θα περιορίσει τον αριθμό καθημερινών επιτρεπόμενων προσφορών ανά χρήστη.<br />Αν επιθυμείτε να πλειοδοτήσετε περισσότερα αντικείμενα, παρακαλούμε επικοινωνήστε μαζί μας στη διεύθυνση"
"","biderrorbody.Hello","Γεια σας"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Ευχαριστούμε!"
"","biderrorheader.Click","κάντε κλικ εδώ"
"","biderrorheader.Hello","Γεια σας, "
"","biderrorheader.Hello!","Γεια σας!"
"","biderrorheader.Help","Βοήθεια"
"","biderrorheader.Home","Αρχική"
"","biderrorheader.My OLX","Η OLX μου"
"","biderrorheader.Not_You?","δεν είστε εσείς"
"","biderrorheader.Or","ή"
"","biderrorheader.Post","Ταχυδρομείο"
"","biderrorheader.Register","Εγγραφή"
"","buyerinfo.Buyer","Αγοραστής"
"","buyerinfo.E-mail","Ηλεκτρονική διεύθυνση"
"","buyerinfo.Item","Aντικείμενο"
"","buyerinfo.OLXHomePage","Επιστροφή στην ενότητα Η OLX μου"
"","buyerinfo.PageTitle","Η OLX μου >> <span class=""titOLX2"">Στοιχεία αγοραστή</span>"
"","buyerinfo.Price","Τιμή"
"","countryoptions.Accept","Αποδοχή"
"","countryoptions.AllCanton","Όλα τα καντόνια"
"","countryoptions.AllCities","Όλες οι πόλεις"
"","countryoptions.AllCounties","Όλες οι χώρες"
"","countryoptions.AllDepartaments","Όλες οι επαρχίες"
"","countryoptions.AllDepartments","Όλες οι επαρχίες"
"","countryoptions.AllEmirate","Όλα τα εμιράτα"
"","countryoptions.AllLanguages","Όλες οι γλώσσες"
"","countryoptions.AllPrefectures","Όλοι οι νομοί"
"","countryoptions.AllProvince","Όλες οι περιφέρειες"
"","countryoptions.AllRegions","Όλοι οι νομοί"
"","countryoptions.AllStates","Περισσότερα"
"","countryoptions.BrandMobile","Κινητό <<BRAND>>"
"","countryoptions.Canton","Καντόνι"
"","countryoptions.ChangeCity","Αλλαγή πόλης"
"","countryoptions.ChangeCountry","Αλλαγή χώρας"
