"location","source","target"
"","biderrorbody.Description1","Untuk alasan keamanan, <<BRAND>> akan membatasi jumlah tawaran harian untuk setiap pengguna.<br />Apabila Anda ingin menawar lebih banyak barang silakan hubungi kami di"
"","biderrorbody.Hello","Halo"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Terima Kasih!"
"","biderrorheader.Click","klik di sini"
"","biderrorheader.Hello","Halo, "
"","biderrorheader.Hello!","Halo!"
"","biderrorheader.Help","Bantuan"
"","biderrorheader.Home","Hal. Awal"
"","biderrorheader.My OLX","OLX Saya"
"","biderrorheader.Not_You?","bukan Anda"
"","biderrorheader.Or","atau"
"","biderrorheader.Post","Pasang"
"","biderrorheader.Register","Daftar"
"","buyerinfo.Buyer","Pembeli"
"","buyerinfo.E-mail","Email"
"","buyerinfo.Item","Barang"
"","buyerinfo.OLXHomePage","Kembali ke OLX Saya"
"","buyerinfo.PageTitle","OLX Saya >> <span class=""titOLX2"">Informasi Pembeli</span>"
"","buyerinfo.Price","Harga"
"","countryoptions.Accept","Menyetujui"
"","countryoptions.AllCanton","Semua Kanton (Wilayah)"
"","countryoptions.AllCities","Semua Kota"
"","countryoptions.AllCounties","Semua Negara"
"","countryoptions.AllDepartaments","Semua Departemen"
"","countryoptions.AllDepartments","All Departments"
"","countryoptions.AllEmirate","Semua Emirates"
"","countryoptions.AllLanguages","Semua Bahasa"
"","countryoptions.AllPrefectures","Semua Perfektur"
"","countryoptions.AllProvince","Semua Provinsi"
"","countryoptions.AllRegions","Semua Kawasan"
"","countryoptions.AllStates","Lainnya"
"","countryoptions.BrandMobile","<<BRAND>> Mobile"
"","countryoptions.Canton","Canton"
"","countryoptions.ChangeCity","Ganti Kota"
"","countryoptions.ChangeCountry","Ganti Negara"
"","countryoptions.ChooseCountry","Pilih County/Wilayah"
"","countryoptions.ChooseEmirate","Pilih Emirat"
"","countryoptions.ChooseProvince","Pilih Provinsi"
"","countryoptions.City","Kota:"
"","countryoptions.CityOrZip","Kota atau Kode Zip"
"","countryoptions.citySelect","Pilih Satu Kota:"
"","countryoptions.ClickHereIfCantFindCity","Klik di sini jika kota Anda tidak ditemukan"
"","countryoptions.ClickHereToEnterACity","Klik di sini untuk memasukkan sebuah Kota"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Masukkan Kode Pos atau Kota"
"","countryoptions.ClickHereToSelectTheCityFromAList","Klik di sini untuk memilih kota dari daftar"
"","countryoptions.Country","Negara:"
"","countryoptions.County","County"
"","countryoptions.departamentSelect","Departemen terpenting dari"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Jarak"
"","countryoptions.Emirate","Emirate"
"","countryoptions.emirateSelect","Emirat terpenting di"
"","countryoptions.EnterCity","Masukkan Kota"
"","countryoptions.EnterCityOrZipCode","Masukkan Kota atau Kode Zip"
"","countryoptions.EntireCountry","Seluruh Negara"
"","countryoptions.Exact","Cocok"
"","countryoptions.example","contoh"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Lebih lanjut"
"","countryoptions.Home_SelectCanton","Pilih kanton"
"","countryoptions.Home_SelectCity","Pilih kota"
"","countryoptions.Home_SelectDepartment","Pilih departemen"
"","countryoptions.Home_SelectEmirate","Pilih emirat"
"","countryoptions.Home_SelectProvince","Pilih provinsi"
"","countryoptions.Home_SelectRegion","Pilih kawasan"
"","countryoptions.Home_SelectState","Pilih negara bagian"
"","countryoptions.ListingLanguage","Iklan dalam"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Cari iklan baris di wilayah Anda dengan memilihnya di peta"
"","countryoptions.Municipality","Kotamadya"
"","countryoptions.NoCities","Maaf, kami tidak mempunyai pilihan kota dalam bagian ini"
"","countryoptions.NoCountries","Maaf, kami tidak mempunyai pilihan negara dalam bagian ini"
"","countryoptions.Ok","OKE"
"","countryoptions.Or","Atau pilih kota"
"","countryoptions.OrSelectACity","Atau pilih kota"
"","countryoptions.OrSelectARegion","Atau pilih kawasan"
"","countryoptions.OtherCities","Kota lainnya"
"","countryoptions.OtherCitiesInRegion","Kota lainnya di <<REGION>>"
"","countryoptions.OtherProvinces","Propinsi lainnya"
"","countryoptions.OtherRegions","Wilayah lainnya"
"","countryoptions.OtherStates","Negara bagian lainnya"
"","countryoptions.PleaseChooseYourCity","Silakan pilih kota Anda"
"","countryoptions.PleaseChooseYourCounty","Silakan pilih negara Anda"
"","countryoptions.PleaseChooseYourPrefecture","Harap pilih perfektur Anda"
"","countryoptions.PleaseEnterYourZipCode","Silahkan masukkan kode pos Anda"
"","countryoptions.PleaseSelectACity","Silakan pilih Kota."
"","countryoptions.PleaseSelectACountry","Silakan pilih negara"
"","countryoptions.PostAdd","Pasang Iklan Baris Gratis"
"","countryoptions.Prefecture","Perfektur"
"","countryoptions.ProvinceRegion","Provinsi/Kawasan"
"","countryoptions.provinceSelect","Propinsi:"
"","countryoptions.Region","Lokasi"
"","countryoptions.regionCantonSelect","Kanton (wilayah):"
