"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","Halló"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Þakka þér fyrir!"
"","biderrorheader.Click","smelltu hér"
"","biderrorheader.Hello","Halló,"
"","biderrorheader.Hello!","Halló!"
"","biderrorheader.Help","Hjálp"
"","biderrorheader.Home","Heim"
"","biderrorheader.My OLX","Mitt OLX"
"","biderrorheader.Not_You?","ekki þú"
"","biderrorheader.Or","eða"
"","biderrorheader.Post","Leggja fram"
"","biderrorheader.Register","Stofna reikning"
"","buyerinfo.Buyer","Kaupandi"
"","buyerinfo.E-mail","Tölvupóstur"
"","buyerinfo.Item","Atriði"
"","buyerinfo.OLXHomePage","Aftur í Mitt OLX"
"","buyerinfo.PageTitle","Mitt OLX >> <span class=""titOLX2"">Upplýsingar um kaupanda</span>"
"","buyerinfo.Price","Verð"
"","countryoptions.Accept","Samþykkja"
"","countryoptions.AllCanton","Öll kanton"
"","countryoptions.AllCities","Allar borgir"
"","countryoptions.AllCounties","All Counties"
"","countryoptions.AllDepartaments","Allar deildir"
"","countryoptions.AllDepartments","Allar deildir"
"","countryoptions.AllEmirate","Öll furstadæmi"
"","countryoptions.AllLanguages","Öll tungumál"
"","countryoptions.AllPrefectures","All Prefectures"
"","countryoptions.AllProvince","Öll héruð"
"","countryoptions.AllRegions","Allir landshlutar"
"","countryoptions.AllStates","Meira"
"","countryoptions.BrandMobile","<<BRAND>> fyrir farsíma"
"","countryoptions.Canton","Kantóna"
"","countryoptions.ChangeCity","Breyta borg"
"","countryoptions.ChangeCountry","Breyta landi"
"","countryoptions.ChooseCountry","Velja land"
"","countryoptions.ChooseEmirate","Veldu furstadæmi"
"","countryoptions.ChooseProvince","Veldu hérað"
"","countryoptions.City","Borg:"
"","countryoptions.CityOrZip","Borg eða póstnúmer"
"","countryoptions.citySelect","Veldu borg:"
"","countryoptions.ClickHereIfCantFindCity","Click here if you can't find your city"
"","countryoptions.ClickHereToEnterACity","Smelltu hér til að slá inn borg"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Smelltu hér til að slá inn póstnúmer eða borg"
"","countryoptions.ClickHereToSelectTheCityFromAList","Smelltu hér til að velja borg úr lista"
"","countryoptions.Country","Land:"
"","countryoptions.County","Sýsla"
"","countryoptions.departamentSelect","Mikilvægustu deildir"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Fjarlægð"
"","countryoptions.Emirate","Furstadæmi"
"","countryoptions.emirateSelect","Mikilvægustu furstadæmi"
"","countryoptions.EnterCity","Sláðu inn borg"
"","countryoptions.EnterCityOrZipCode","Sláðu inn borg eða póstnúmer"
"","countryoptions.EntireCountry","Allt landið"
"","countryoptions.Exact","Nákvæmt"
"","countryoptions.example","dæmi"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","Meira"
"","countryoptions.Home_SelectCanton","Veldu kantónu"
"","countryoptions.Home_SelectCity","Veldu borg"
"","countryoptions.Home_SelectDepartment","Veldu deild"
"","countryoptions.Home_SelectEmirate","Veldu furstadæmi"
"","countryoptions.Home_SelectProvince","Veldu hérað"
"","countryoptions.Home_SelectRegion","Veldu landshluta"
"","countryoptions.Home_SelectState","Veldu fylki"
"","countryoptions.ListingLanguage","Auglýsingar í"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","Leitaðu að auglýsingum á þínu svæði með því að velja það á kortinu"
"","countryoptions.Municipality","Umdæmi"
"","countryoptions.NoCities","Sorry, we don't have any cities in this section"
"","countryoptions.NoCountries","Því miður eru engin lönd í þessum hluta"
"","countryoptions.Ok","Í lagi"
"","countryoptions.Or","Eða veldu borg"
"","countryoptions.OrSelectACity","Eða veldu borg"
"","countryoptions.OrSelectARegion","Eða veldu svæði"
"","countryoptions.OtherCities","Aðrar borgir"
"","countryoptions.OtherCitiesInRegion","Aðrar borgir í <<REGION>>"
"","countryoptions.OtherProvinces","Önnur héruð"
"","countryoptions.OtherRegions","Önnur svæði"
"","countryoptions.OtherStates","Önnur fylki"
"","countryoptions.PleaseChooseYourCity","Vinsamlegast veldu borgina þína"
"","countryoptions.PleaseChooseYourCounty","Veldu sýslu"
"","countryoptions.PleaseChooseYourPrefecture","Veldu hérað"
"","countryoptions.PleaseEnterYourZipCode","Vinsamlegast sláðu inn póstnúmerið þitt"
"","countryoptions.PleaseSelectACity","Vinsamlegast veldu borg."
"","countryoptions.PleaseSelectACountry","Vinsamlegast veldu land"
"","countryoptions.PostAdd","Skrá ókeypis smáauglýsingu"
"","countryoptions.Prefecture","Hérað"
"","countryoptions.ProvinceRegion","Hérað/svæði"
"","countryoptions.provinceSelect","Héruð:"
"","countryoptions.Region","Staðsetning"
"","countryoptions.regionCantonSelect","Kantónur:"
"","countryoptions.regionSelect","Svæði:"
"","countryoptions.SelectACanton","Velja kantónu"
"","countryoptions.SelectACity","Veldu borg"
"","countryoptions.SelectACityInRegion","Velja borg í <<REGION>>"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","Veldu deild"
"","countryoptions.SelectANeighborhood","Veldu hverfi"
"","countryoptions.SelectAnEmirate","Veldu furstadæmi"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","Veldu hérað"
"","countryoptions.SelectARegion","Veldu svæði"
"","countryoptions.SelectAState","Veldu fylki"
"","countryoptions.SelectCanton","Veldu kantónu"
"","countryoptions.SelectCityState","Velja borg/fylki"
"","countryoptions.SelectCountry","Veldu land"
"","countryoptions.SelectCounty","Veldu sýslu"
"","countryoptions.SelectDepartament","Veldu deild"
"","countryoptions.SelectDepartment","Veldu deild"
"","countryoptions.SelectedRegion","Valið svæði"
"","countryoptions.SelectOnTheMap","Velja á korti"
"","countryoptions.SelectPrefecture","Veldu hérað"
"","countryoptions.SelectProvince","Velja hérað"
"","countryoptions.SelectRegion","Velja svæði"
"","countryoptions.SelectState","Veldu fylki"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","Senda <<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> í númer <<BLACKSTRONG>>3000<</BLACKSTRONG>>"
"","countryoptions.SiteLanguage","Tungumál síðu"
"","countryoptions.State","Velja svæði"
"","countryoptions.stateSelect","Veldu fylki:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","Borgin sem þú hefur valið, er að finna í fleiri en einni sýslu, vinsamlegast veldu sýsluna með borginni þinni."
"","countryoptions.Town","Bær"
"","countryoptions.Wait","Augnablik..."
"","countryoptions.ZipCodeOrCity","Póstnúmer eða borg"
"","defaultfooter.About OLX","Um <<BRAND>>"
"","defaultfooter.ADS_REGION","Auglýsingar í/á <<REGION>>"
"","defaultfooter.AdvancedSearch","Nákvæm leit"
"","defaultfooter.AllListings","Allar auglýsingar"
"","defaultfooter.AllStates","Skoða borgir"
"","defaultfooter.Back","Til baka"
"","defaultfooter.BrandFreeClassifieds","100% Ókeypis smáauglýsingar"
"","defaultfooter.BrowseAds","Skoða auglýsingar"
"","defaultfooter.change","breyta"
"","defaultfooter.classifiedGratuitous","ókeypis smáauglýsingar"
"","defaultfooter.ClassifiedsAndMuchMore","Smáauglýsingar og margt fleira!"
"","defaultfooter.ClassifiedsHelp","Smáauglýsingar - Hjálp"
"","defaultfooter.ClassifiedsHome","Smáauglýsingar - Heim"
"","defaultfooter.Click","smelltu hér"
"","defaultfooter.ClickHere","Smelltu hér"
"","defaultfooter.Distance","Fjarlægð"
"","defaultfooter.Exact","Nákvæmt"
"","defaultfooter.FreeSite","100% Ókeypis smáauglýsingar"
"","defaultfooter.GoHome","Upphafssíða"
"","defaultfooter.Hello","Halló:"
"","defaultfooter.Hello!","Halló!"
"","defaultfooter.Help","Hjálp"
"","defaultfooter.HelpUs","Nýtt: <<BRAND>> styður nú myndbönd! Prófaðu það núna!"
"","defaultfooter.Home","Heim"
"","defaultfooter.IntellectualPropertyProtectionServices","Þjónusta fyrir verndun hugverka"
"","defaultfooter.ItemDetail","Vörulýsing"
"","defaultfooter.ListingLanguage","Auglýsingar á"
"","defaultfooter.Location","Staðsetning:"
