"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","हॅलो"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","धन्यवाद!"
"","biderrorheader.Click","येथे क्लिक करा"
"","biderrorheader.Hello","Hello, "
"","biderrorheader.Hello!","हॅलो!"
"","biderrorheader.Help","मदत"
"","biderrorheader.Home","होम"
"","biderrorheader.My OLX","My OLX"
"","biderrorheader.Not_You?","आपण नाही"
"","biderrorheader.Or","किंवा"
"","biderrorheader.Post","पोस्ट"
"","biderrorheader.Register","नोंदणी करा"
"","buyerinfo.Buyer","ग्राहक"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","वस्तू"
"","buyerinfo.OLXHomePage","Back to My OLX"
"","buyerinfo.PageTitle","My OLX >> <span class=""titOLX2"">Buyer Information</span>"
"","buyerinfo.Price","किंमत"
"","countryoptions.Accept","स्वीकारा"
"","countryoptions.AllCanton","सर्व जिल्हे"
"","countryoptions.AllCities","All Cities"
"","countryoptions.AllCounties","All Counties"
"","countryoptions.AllDepartaments","सर्व विभाग"
"","countryoptions.AllDepartments","सर्व विभाग"
"","countryoptions.AllEmirate","All Emirates"
"","countryoptions.AllLanguages","सर्व भाषा"
"","countryoptions.AllPrefectures","All Prefectures"
"","countryoptions.AllProvince","All Provinces"
"","countryoptions.AllRegions","All Regions"
"","countryoptions.AllStates","अजून"
"","countryoptions.BrandMobile","<<BRAND>> मोबाईल"
"","countryoptions.Canton","जिल्हा"
"","countryoptions.ChangeCity","शहर बदला"
"","countryoptions.ChangeCountry","देश बदला"
"","countryoptions.ChooseCountry","तालुका निवडा"
"","countryoptions.ChooseEmirate","अमिरात निवडा"
"","countryoptions.ChooseProvince","प्रांत निवडा"
"","countryoptions.City","शहर:"
"","countryoptions.CityOrZip","शहर किंवा पीन कोड"
"","countryoptions.citySelect","शहर निवडा:"
"","countryoptions.ClickHereIfCantFindCity","Click here if you can't find your city"
"","countryoptions.ClickHereToEnterACity","शहर नमूद करण्यासाठी इथे टिचकी मारा"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","पीन कोड किंवा शहर नमूद करण्यासाठी इथे टिचकी मारा"
