"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","Pozdravljeni"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Hvala!"
"","biderrorheader.Click","kliknite tukaj"
"","biderrorheader.Hello","Pozdravljeni,"
"","biderrorheader.Hello!","Pozdravljeni!"
"","biderrorheader.Help","Pomoč"
"","biderrorheader.Home","Domov"
"","biderrorheader.My OLX","Moj OLX"
"","biderrorheader.Not_You?","niste vi"
"","biderrorheader.Or","ali"
"","biderrorheader.Post","Objava"
"","biderrorheader.Register","Registracija"
"","buyerinfo.Buyer","Kupec"
"","buyerinfo.E-mail","E-pošta"
"","buyerinfo.Item","Oglas"
"","buyerinfo.OLXHomePage","Nazaj na »Moj OLX«"
"","buyerinfo.PageTitle","Moj OLX >> <span class=""titOLX2"">Informacije o kupcu</span>"
"","buyerinfo.Price","Cena"
"","countryoptions.Accept","Sprejmi"
"","countryoptions.AllCanton","Vsi kantoni"
"","countryoptions.AllCities","Vsa mesta"
"","countryoptions.AllCounties","All Counties"
"","countryoptions.AllDepartaments","Vsi departmaji"
"","countryoptions.AllDepartments","Vsi departmaji"
"","countryoptions.AllEmirate","Vsi emirati"
"","countryoptions.AllLanguages","Vsi jeziki"
"","countryoptions.AllPrefectures","All Prefectures"
"","countryoptions.AllProvince","Vse province"
"","countryoptions.AllRegions","Vse regije"
"","countryoptions.AllStates","Več"
"","countryoptions.BrandMobile","Mobilni <<BRAND>>"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Spremeni kraj"
"","countryoptions.ChangeCountry","Spremeni državo"
"","countryoptions.ChooseCountry","Izberi občino"
"","countryoptions.ChooseEmirate","Izberite emirat"
"","countryoptions.ChooseProvince","Izberite provinco"
"","countryoptions.City","Kraj:"
"","countryoptions.CityOrZip","Kraj ali poštna številka"
"","countryoptions.citySelect","Izberite mesto:"
"","countryoptions.ClickHereIfCantFindCity","Click here if you can't find your city"
"","countryoptions.ClickHereToEnterACity","Kliknite tukaj za vnos kraja"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Kliknite tukaj za vnos poštne številke ali kraja"
"","countryoptions.ClickHereToSelectTheCityFromAList","Kliknite tukaj za izbor kraja s seznama"
"","countryoptions.Country","Država:"
"","countryoptions.County","Država"
"","countryoptions.departamentSelect","Najpomembnejši departmaji v"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","Razdalja"
"","countryoptions.Emirate","Emirat"
