"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","হ্যালো"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","আপনাকে ধন্যবাদ!"
"","biderrorheader.Click","এখানে ক্লিক করুন"
"","biderrorheader.Hello","হ্যালো, "
"","biderrorheader.Hello!","হ্যালো!"
"","biderrorheader.Help","সাহায্য"
"","biderrorheader.Home","হোম"
"","biderrorheader.My OLX","আমার OLX"
"","biderrorheader.Not_You?","আপনি নন"
"","biderrorheader.Or","অথবা"
"","biderrorheader.Post","পোস্ট করুন"
"","biderrorheader.Register","নিবন্ধন করুন"
"","buyerinfo.Buyer","ক্রেতা"
"","buyerinfo.E-mail","ই-মেইল"
"","buyerinfo.Item","আইটেম"
"","buyerinfo.OLXHomePage","আমার  OLX,-এ ফিরে যান"
"","buyerinfo.PageTitle","আমারOLX >> <span class=""titOLX2"">ক্রেতা তথ্য</span>"
"","buyerinfo.Price","দাম"
"","countryoptions.Accept","গ্রহণ করুন"
"","countryoptions.AllCanton","সকল ক্যান্টন"
"","countryoptions.AllCities","সকল শহর"
"","countryoptions.AllCounties","All Counties"
"","countryoptions.AllDepartaments","সকল ডিপার্টমেন্ট"
"","countryoptions.AllDepartments","সকল বিভাগ"
"","countryoptions.AllEmirate","সকল আমিরাত"
"","countryoptions.AllLanguages","সব ভাষা"
"","countryoptions.AllPrefectures","All Prefectures"
"","countryoptions.AllProvince","সকল প্রদেশ"
"","countryoptions.AllRegions","সব অঞ্চল"
"","countryoptions.AllStates","আরো"
"","countryoptions.BrandMobile","<<BRAND>> মোবাইল"
"","countryoptions.Canton","ক্যান্টন"
"","countryoptions.ChangeCity","শহর পরিবর্তন করুন"
"","countryoptions.ChangeCountry","দেশ পরিবর্তন করুন"
"","countryoptions.ChooseCountry","দেশ পছন্দ করুন"
"","countryoptions.ChooseEmirate","Emirate বেছে নিন"
"","countryoptions.ChooseProvince","প্রদেশ বাছাই করুন"
"","countryoptions.City","শহর:"
"","countryoptions.CityOrZip","শহর বা জিপ কোড"
"","countryoptions.citySelect","শহর নির্বাচন করুন:"
"","countryoptions.ClickHereIfCantFindCity","Click here if you can't find your city"
"","countryoptions.ClickHereToEnterACity","শহর লিখতে এখানে ক্লিক করুন"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","জিপ কোড বা শহর লিখতে এখানে ক্লিক করুন"
"","countryoptions.ClickHereToSelectTheCityFromAList","তালিকা থেকে শহর নির্বাচন করতে এখানে ক্লিক করুন"
"","countryoptions.Country","দেশ:"
"","countryoptions.County","দেশ"
"","countryoptions.departamentSelect","সবচেয়ে গুরুত্বপূর্ণ বিভাগ"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","দূরত্ব"
"","countryoptions.Emirate","Emirate"
"","countryoptions.emirateSelect","সবচেয়ে গুরুত্বপূর্ণ আমিরাত"
"","countryoptions.EnterCity","শহর প্রবেশ করান"
"","countryoptions.EnterCityOrZipCode","শহর বা জিপ কোড প্রবেশ করান"
"","countryoptions.EntireCountry","সমস্ত দেশ"
"","countryoptions.Exact","হুবহু"
"","countryoptions.example","উদাহরণ"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","আরো"
"","countryoptions.Home_SelectCanton","ক্যান্টন নির্বাচন করুন"
"","countryoptions.Home_SelectCity","শহর নির্বাচন করুন"
"","countryoptions.Home_SelectDepartment","বিভাগ নির্বাচন করুন"
"","countryoptions.Home_SelectEmirate","আমিরাত নির্বাচন করুন"
"","countryoptions.Home_SelectProvince","প্রদেশ নির্বাচন করুন"
"","countryoptions.Home_SelectRegion","অঞ্চল নির্বাচন করুন"
"","countryoptions.Home_SelectState","অঙ্গরাজ্য নির্বাচন করুন"
"","countryoptions.ListingLanguage","তালিকা"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","মানচিত্র থেকে নির্বাচন করে আপনার অঞ্চলের বিজ্ঞাপন দেখুন"
"","countryoptions.Municipality","পৌরসভা"
"","countryoptions.NoCities","Sorry, we don't have any cities in this section"
"","countryoptions.NoCountries","দুঃখিত, এই সেকশনে আমাদের কোনো দেশ নেই"
"","countryoptions.Ok","ওকে"
"","countryoptions.Or","অথবা কোন শহর নির্বাচন করুন"
"","countryoptions.OrSelectACity","অথবা কোন শহর নির্বাচন করুন"
"","countryoptions.OrSelectARegion","অথবা অঞ্চল নির্বাচন করুন"
"","countryoptions.OtherCities","অন্যান্য শহরগুলি"
"","countryoptions.OtherCitiesInRegion","অন্যান্য শহরগুলি <<REGION>>-এ"
"","countryoptions.OtherProvinces","অন্যান্য প্রদেশগুলি"
"","countryoptions.OtherRegions","অন্যান্য অঞ্চলগুলি"
"","countryoptions.OtherStates","অন্যান্য রজ্যগুলি"
"","countryoptions.PleaseChooseYourCity","আপনার শহর নির্বাচন করুন"
"","countryoptions.PleaseChooseYourCounty","দয়াকরে আপনার দেশ নির্বাচন করুন"
"","countryoptions.PleaseChooseYourPrefecture","দয়াকরে আপনার জেলা নির্বাচন করুন"
"","countryoptions.PleaseEnterYourZipCode","আপনার জিপ কোড প্রবেশ করান"
"","countryoptions.PleaseSelectACity","শহর নির্বাচন করুন।"
"","countryoptions.PleaseSelectACountry","দেশ নির্বাচন করুন"
"","countryoptions.PostAdd","বিনামূল্যে শ্রেণিবদ্ধ বিজ্ঞাপন পোস্ট/প্রকাশ করুন"
"","countryoptions.Prefecture","জেলা"
"","countryoptions.ProvinceRegion","প্রদেশ/অঞ্চল"
"","countryoptions.provinceSelect","প্রদেশ:"
"","countryoptions.Region","অবস্থান"
"","countryoptions.regionCantonSelect","ক্যান্টন:"
"","countryoptions.regionSelect","অঞ্চল:"
"","countryoptions.SelectACanton","ক্যান্টন নির্বাচন করুন"
"","countryoptions.SelectACity","শহর নির্বাচন করুন"
"","countryoptions.SelectACityInRegion","একটি শহর নির্বাচন করুন <<REGION>>-এ"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","বিভাগ নির্বাচন করুন"
"","countryoptions.SelectANeighborhood","নিকটবর্তী এলাকা নির্বাচন করুন"
"","countryoptions.SelectAnEmirate","আমিরাত নির্বাচন করুন"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","প্রদেশ নির্বাচন করুন"
"","countryoptions.SelectARegion","অঞ্চল নির্বাচন করুন"
"","countryoptions.SelectAState","অঙ্গরাজ্য নির্বাচন করুন"
"","countryoptions.SelectCanton","ক্যান্টন নির্বাচন করুন"
"","countryoptions.SelectCityState","শহর/অঙ্গরাজ্য নির্বাচন করুন"
"","countryoptions.SelectCountry","দেশ নির্বাচন করুন"
"","countryoptions.SelectCounty","দেশ নির্বাচন করুন"
"","countryoptions.SelectDepartament","বিভাগ নির্বাচন করুন"
