"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","హల్లో"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","ధన్యవాదాలు!"
"","biderrorheader.Click","ఇక్కడ క్లిక్ చేయండి"
"","biderrorheader.Hello","హల్లో,"
"","biderrorheader.Hello!","హల్లో!"
"","biderrorheader.Help","సహాయం"
"","biderrorheader.Home","హోమ్‌"
"","biderrorheader.My OLX","నా OLX"
"","biderrorheader.Not_You?","మీరు కాదు"
"","biderrorheader.Or","లేదా"
"","biderrorheader.Post","పోస్ట్"
"","biderrorheader.Register","రిజిస్టర్ చెయ్యి"
"","buyerinfo.Buyer","కొనుగోలుదారు"
"","buyerinfo.E-mail","ఇ-మెయిల్"
"","buyerinfo.Item","ఐటమ్"
"","buyerinfo.OLXHomePage","నా OLX కు వెనక్కు"
"","buyerinfo.PageTitle","నా OLX >> <span class=""titOLX2"">కొనుగోలుదారు సమాచారారం </span>"
"","buyerinfo.Price","ధర"
"","countryoptions.Accept","అంగీకరించు"
"","countryoptions.AllCanton","అన్ని క్యాన్‌టన్స్"
"","countryoptions.AllCities","ఆని నగరాలు"
"","countryoptions.AllCounties","All Counties"
"","countryoptions.AllDepartaments","అన్ని విభాగాలు"
"","countryoptions.AllDepartments","అన్ని విభాగాలు"
"","countryoptions.AllEmirate","అన్ని ఎమిరేట్స్"
"","countryoptions.AllLanguages","అన్ని భాషలు"
"","countryoptions.AllPrefectures","All Prefectures"
"","countryoptions.AllProvince","అన్ని ప్రదేశాలు"
"","countryoptions.AllRegions","అన్ని ప్రాంతాలు"
"","countryoptions.AllStates","మరిన్ని"
"","countryoptions.BrandMobile","<<BRAND>> మొబైల్"
"","countryoptions.Canton","కాన్‌టన్"
"","countryoptions.ChangeCity","నగరాన్ని మార్చండి"
"","countryoptions.ChangeCountry","దేశాన్ని మార్చండి"
"","countryoptions.ChooseCountry","దేశం ఎంపిక చెయ్యి"
"","countryoptions.ChooseEmirate","ఎమిరేట్ ఎంపిక చేయండి"
"","countryoptions.ChooseProvince","ప్రదేశం ఎంచుకోండి"
"","countryoptions.City","నగరం:"
"","countryoptions.CityOrZip","నగరం లేదా జిప్ కోడ్"
"","countryoptions.citySelect","ఒక నగరం ఎంపిక చేయండి:"
"","countryoptions.ClickHereIfCantFindCity","Click here if you can't find your city"
"","countryoptions.ClickHereToEnterACity","ఒక నగరాన్ని చేర్చడానికి ఇక్కడ నొక్కండి"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","జిప్ కోడ్ లేదా నగరాన్ని చేర్చటానికి ఇక్కడ నొక్కండి"
"","countryoptions.ClickHereToSelectTheCityFromAList","జాబితానుండి నగరాన్ని ఎంచుకోవడానికి ఇక్కడ నొక్కండి"
"","countryoptions.Country","దేశం:"
"","countryoptions.County","దేశం"
"","countryoptions.departamentSelect",". . . యొక్క అతి ముఖ్య విభాగాలు "
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","దూరం"
"","countryoptions.Emirate","ఎమిరేట్"
"","countryoptions.emirateSelect",". . . యొక్క అతి ముఖ్య ఎమిరేట్స్ "
"","countryoptions.EnterCity","ఒక నగరం ఎంటర్ చేయండి"
"","countryoptions.EnterCityOrZipCode","ఒక నగరం లేదా జిప్ కోడ్ ఎంటర్ చేయండి"
"","countryoptions.EntireCountry","దేశమంతటా"
"","countryoptions.Exact","ఖచ్చితమైన"
"","countryoptions.example","ఉదాహరణ"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","మరిన్ని"
"","countryoptions.Home_SelectCanton","ఒక కాన్‌టన్ ఎంపిక చేయండి"
"","countryoptions.Home_SelectCity","ఒక నగరం ఎంపిక చేయండి"
"","countryoptions.Home_SelectDepartment","ఒక విభాగం ఎంటర్ చేయండి"
"","countryoptions.Home_SelectEmirate","ఒక ఎమిరేట్స్ ఎంటర్ చేయండి"
"","countryoptions.Home_SelectProvince","ఒక ప్రదేశం ఎంటర్ చేయండి"
"","countryoptions.Home_SelectRegion","ఒక ప్రాంతం ఎంటర్ చేయండి"
"","countryoptions.Home_SelectState","ఒక రాష్ట్రం ఎంటర్ చేయండి"
"","countryoptions.ListingLanguage",". . . లోని లిస్టింగులు"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","పటంలో ఎంచుకోవటం ద్వారా మీ ప్రాంతంలోని ప్రకటనల కోసం చూడవచ్చు"
"","countryoptions.Municipality","మునిసిపాలిటి"
"","countryoptions.NoCities","Sorry, we don't have any cities in this section"
"","countryoptions.NoCountries","క్షమించండి, ఈ ఎంపికలోని దేశాలు ఏవీ మా వద్ద లేవు"
"","countryoptions.Ok","ఓకే"
"","countryoptions.Or","లేదా ఒక నగరం ఎంపిక చేయండి"
"","countryoptions.OrSelectACity","లేదా ఒక నగరం ఎంపిక చేయండి"
"","countryoptions.OrSelectARegion","లేదా ఒక ప్రాంతం ఎంపిక చేయండి"
"","countryoptions.OtherCities","ఇతర నగరాలు"
"","countryoptions.OtherCitiesInRegion","<<REGION>> లోని ఇతర నగరాలు"
"","countryoptions.OtherProvinces","ఇతర ప్రావిన్సెస్"
"","countryoptions.OtherRegions","ఇతర ప్రాంతాలు"
"","countryoptions.OtherStates","ఇతర రాష్ట్రాలు"
"","countryoptions.PleaseChooseYourCity","దయచేసి మీ నగరం ఎంచుకోండి"
"","countryoptions.PleaseChooseYourCounty","దయచేసి మీ దేశాన్ని ఎంచుకోండి"
"","countryoptions.PleaseChooseYourPrefecture","దయచేసి మీ సరియైన కార్యాలయాన్ని ఎంచుకోండి"
"","countryoptions.PleaseEnterYourZipCode","దయచేసి మీ జిప్ కోడ్ ఎంటర్ చేయండి"
"","countryoptions.PleaseSelectACity","దయచేసి ఒక నగరం ఎంపిక చేయండి."
"","countryoptions.PleaseSelectACountry","దయచేసి ఒక దేశం ఎంపిక చేయండి"
"","countryoptions.PostAdd","ఒక ఉచిత క్లాసిఫైడ్ పోస్ట్ చేయండి"
"","countryoptions.Prefecture","సరియైన కార్యాలయం"
"","countryoptions.ProvinceRegion","ప్రదేశం/ప్రాంతం"
"","countryoptions.provinceSelect","ప్రదేశాలు: "
"","countryoptions.Region","లొకేషన్"
"","countryoptions.regionCantonSelect","కాన్‌టన్స్:"
"","countryoptions.regionSelect","ప్రాంతాలు:"
"","countryoptions.SelectACanton","ఒక కాన్‌టన్ ఎంపిక చేయండి"
"","countryoptions.SelectACity","ఒక నగరం ఎంపిక చేయండి"
"","countryoptions.SelectACityInRegion","<<REGION>> లోని ఒక నగరాన్ని ఎంచుకోండి"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","ఒక విభాగం ఎంటర్ చేయండి"
"","countryoptions.SelectANeighborhood","దగ్గరలో ఉన్నదానిని ఎంచుకోండి"
"","countryoptions.SelectAnEmirate","ఒక ఎమిరేట్స్ ఎంటర్ చేయండి"
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","ఒక ప్రదేశం ఎంటర్ చేయండి"
"","countryoptions.SelectARegion","ఒక ప్రాంతం ఎంటర్ చేయండి"
"","countryoptions.SelectAState","ఒక రాష్ట్రం ఎంటర్ చేయండి"
"","countryoptions.SelectCanton","కాన్‌టన్ ఎంపిక చేయండి"
"","countryoptions.SelectCityState","నగరం/రాష్ట్రం ఎంపిక చెయ్యండి"
"","countryoptions.SelectCountry","దేశం ఎంపిక చేయండి"
"","countryoptions.SelectCounty","దేశాన్ని ఎంచుకోండి"
"","countryoptions.SelectDepartament","ఒక విభాగం ఎంపిక చేయండి"
"","countryoptions.SelectDepartment","ఒక విభాగం ఎంపిక చేయండి"
"","countryoptions.SelectedRegion","ఎంపిక చేసిన ప్రాంతం"
"","countryoptions.SelectOnTheMap","పటంపైన ఎంచుకోండి"
"","countryoptions.SelectPrefecture","సరియైన కార్యాలయాన్ని ఎంచుకోండి"
"","countryoptions.SelectProvince","ప్రదేశం ఎంపిక చేయండి"
"","countryoptions.SelectRegion","ప్రాంతం ఎంపిక చేయండి"
"","countryoptions.SelectState","రాష్ట్రం ఎంపిక చేయండి"
"","countryoptions.SendBrandBySmsToTheNumber","Send <<BRAND>> by SMS to the number 21616"
"","countryoptions.Send_OLX_to_number_3000","<<BLACKSTRONG>><<BRAND>><</BLACKSTRONG>> ను <<BLACKSTRONG>>3000<</BLACKSTRONG>> కు పంపండి"
"","countryoptions.SiteLanguage","సైట్ భాషలు"
"","countryoptions.State","ప్రాంతం ఎంపిక చేయండి"
"","countryoptions.stateSelect","రాష్ట్రం ఎంపిక చేయండి:"
"","countryoptions.TheCityYouSelectedIsPresentInSeveralStatesPleaseSelectTheStateYourCityIsLocated","మీరు ఎంపిక చేసిన నగరం అనేక రాష్ట్రాలలో ఉంది, దయచేసి మీ నగరం ఏ రాష్ట్రంలో ఉందో ఎంపిక చేయండి:"
"","countryoptions.Town","పట్టణం"
"","countryoptions.Wait","ఆగు..."
"","countryoptions.ZipCodeOrCity","జిప్ కోడ్ లేదా నగరం"
"","defaultfooter.About OLX","<<BRAND>>  పరిచయం"
"","defaultfooter.ADS_REGION","<<REGION>> లో ప్రకటనలు"
"","defaultfooter.AdvancedSearch","ఉన్నత శోధన"
"","defaultfooter.AllListings","అన్ని లిస్టింగులు"
"","defaultfooter.AllStates","నగరాలను బ్రౌజ్ చెయ్యి"
"","defaultfooter.Back","వెనక్కు"
"","defaultfooter.BrandFreeClassifieds","<<BRAND>> Free Classifieds"
"","defaultfooter.BrowseAds","ప్రకటనలు బ్రౌజ్ చెయ్యి"
"","defaultfooter.change","మార్చు"
"","defaultfooter.classifiedGratuitous","ఉచిత క్లాసిఫైడ్లు"
"","defaultfooter.ClassifiedsAndMuchMore","క్లాసిఫైడ్స్ మరియు ఇంకా ఎన్నో!"
"","defaultfooter.ClassifiedsHelp","క్లాసిఫైడ్స్ సహాయం"
