"location","source","target"
"","biderrorbody.Description1","为了安全起见，<<BRAND>>会限制每位用户每日竞标商品数量。<br />如果您需要竞标更多商品，请与我们联系"
"","biderrorbody.Hello","您好"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","感谢您！"
"","biderrorheader.Click","点击这里"
"","biderrorheader.Hello","您好，"
"","biderrorheader.Hello!","您好！"
"","biderrorheader.Help","帮助"
"","biderrorheader.Home","首页"
"","biderrorheader.My OLX","我的OLX"
"","biderrorheader.Not_You?","不是你"
"","biderrorheader.Or","或"
"","biderrorheader.Post","刊登广告"
"","biderrorheader.Register","注册"
"","buyerinfo.Buyer","买家"
"","buyerinfo.E-mail","电子邮箱"
"","buyerinfo.Item","广告"
"","buyerinfo.OLXHomePage","返回到我的OLX"
"","buyerinfo.PageTitle","我的OLX >> <span class=""titOLX2"">买家资料</span>"
"","buyerinfo.Price","价格"
"","countryoptions.Accept","接受"
"","countryoptions.AllCanton","所有州"
"","countryoptions.AllCities","所有城市"
"","countryoptions.AllCounties","所有国家"
"","countryoptions.AllDepartaments","所有部门"
"","countryoptions.AllDepartments","All Departments"
"","countryoptions.AllEmirate","所有酋长国"
"","countryoptions.AllLanguages","全部语言"
"","countryoptions.AllPrefectures","所有辖区"
"","countryoptions.AllProvince","所有省市"
"","countryoptions.AllRegions","所有地区"
"","countryoptions.AllStates","更多"
"","countryoptions.BrandMobile","移动<<BRAND>>"
"","countryoptions.Canton","州"
"","countryoptions.ChangeCity","更改城市"
"","countryoptions.ChangeCountry","更改国家"
"","countryoptions.ChooseCountry","请选择国家"
"","countryoptions.ChooseEmirate","请选择酋长国"
"","countryoptions.ChooseProvince","请选择区域"
"","countryoptions.City","城市/市区："
"","countryoptions.CityOrZip","城市名称或邮政编码"
"","countryoptions.citySelect","选择一个城市："
"","countryoptions.ClickHereIfCantFindCity","找不到你的城市？点击这里！"
"","countryoptions.ClickHereToEnterACity","点击输入城市"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","点击输入邮编或城市"
"","countryoptions.ClickHereToSelectTheCityFromAList","点击选择城市"
"","countryoptions.Country","国家："
"","countryoptions.County","国家"
"","countryoptions.departamentSelect","重要部门"
"","countryoptions.departmentSelect","Most important department of "
"","countryoptions.Distance","距离"
"","countryoptions.Emirate","酋長国"
"","countryoptions.emirateSelect","重要尊长国"
"","countryoptions.EnterCity","输入城市"
"","countryoptions.EnterCityOrZipCode","输入城市或邮编"
"","countryoptions.EntireCountry","全国"
"","countryoptions.Exact","确切"
"","countryoptions.example","例子"
"","countryoptions.FastAndEasyAccess","Fast and Easy Access"
"","countryoptions.Home_BrowseMoreRegions","更多"
"","countryoptions.Home_SelectCanton","选择一个州："
"","countryoptions.Home_SelectCity","选择一个城市"
"","countryoptions.Home_SelectDepartment","选择一个部门："
"","countryoptions.Home_SelectEmirate","选择一个酋长国："
"","countryoptions.Home_SelectProvince","选择一个区域："
"","countryoptions.Home_SelectRegion","选择一个地区："
"","countryoptions.Home_SelectState","选择一个省"
"","countryoptions.ListingLanguage","广告在"
"","countryoptions.LookForAdsInYourRegionBySelectingItOnTheMap","在地图上点击您的地区以便浏览您地区的广告"
"","countryoptions.Municipality","市"
"","countryoptions.NoCities","对不起，在此项目沒有任何城市"
"","countryoptions.NoCountries","对不起，此处没有您找的国家"
"","countryoptions.Ok","好的"
"","countryoptions.Or","或选择一个城市"
"","countryoptions.OrSelectACity","或选择一个城市"
"","countryoptions.OrSelectARegion","或选择一个地区"
"","countryoptions.OtherCities","其他城市"
"","countryoptions.OtherCitiesInRegion","<<REGION>>的其他城市:"
"","countryoptions.OtherProvinces","其他省"
"","countryoptions.OtherRegions","其他地区"
"","countryoptions.OtherStates","其他省"
"","countryoptions.PleaseChooseYourCity","请选择您所在城市"
"","countryoptions.PleaseChooseYourCounty","选择您的国家"
"","countryoptions.PleaseChooseYourPrefecture","请选择您的县（市）"
"","countryoptions.PleaseEnterYourZipCode","请输入您的邮编"
"","countryoptions.PleaseSelectACity","请选择城市。"
"","countryoptions.PleaseSelectACountry","请选择国家"
"","countryoptions.PostAdd","免费发布广告"
"","countryoptions.Prefecture","管辖区"
"","countryoptions.ProvinceRegion","省/区域"
"","countryoptions.provinceSelect","省："
"","countryoptions.Region","位置"
"","countryoptions.regionCantonSelect","州："
"","countryoptions.regionSelect","地区："
"","countryoptions.SelectACanton","选择一个州："
"","countryoptions.SelectACity","选择一个城市"
"","countryoptions.SelectACityInRegion","选择在<<REGION>>的城市:"
"","countryoptions.SelectACounty","Select a County"
"","countryoptions.SelectADelegation","Select a delegation"
"","countryoptions.SelectADepartment","选择一个部门："
"","countryoptions.SelectANeighborhood","选择社区"
"","countryoptions.SelectAnEmirate","选择一个酋长国："
"","countryoptions.SelectAPrefecture","Select a Prefecture"
"","countryoptions.SelectAProvince","选择一个区域："
"","countryoptions.SelectARegion","选择一个地区："
"","countryoptions.SelectAState","选择一个省"
"","countryoptions.SelectCanton","选择州"
"","countryoptions.SelectCityState","请选择城市/省"
"","countryoptions.SelectCountry","选择国家"
"","countryoptions.SelectCounty","选择市"
