"location","source","target"
"","biderrorbody.Description1","Av sikkerhetshetsmessige årsaker vil <<BRAND>> begrense antall daglige bud per bruker<br />Hvis du vil gi flere bud kontakt oss på"
"","biderrorbody.Hello","Hallo"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","Takk!"
"","biderrorheader.Click","klikk her"
"","biderrorheader.Hello","Hallo, "
"","biderrorheader.Hello!","Hallo!"
"","biderrorheader.Help","Hjelp"
"","biderrorheader.Home","Tilbake til forsiden"
"","biderrorheader.My OLX","Min OLX"
"","biderrorheader.Not_You?","ikke deg"
"","biderrorheader.Or","eller"
"","biderrorheader.Post","Legg inn"
"","biderrorheader.Register","Registrer deg"
"","buyerinfo.Buyer","Kjøper"
"","buyerinfo.E-mail","Epost"
"","buyerinfo.Item","Gjenstand"
"","buyerinfo.OLXHomePage","Tilbake til Min OLX"
"","buyerinfo.PageTitle","Min OLX >> <span class=""titOLX2"">Buyer Information</span>"
"","buyerinfo.Price","Pris"
"","countryoptions.Accept","Godkjenn"
"","countryoptions.AllCanton","Alle kantoner"
"","countryoptions.AllCities","All byer"
"","countryoptions.AllCounties","Alle fylker"
"","countryoptions.AllDepartaments","Alle avdelinger"
"","countryoptions.AllDepartments","Alle avdelinger"
"","countryoptions.AllEmirate","Alle emirater"
"","countryoptions.AllLanguages","Alle språk"
"","countryoptions.AllPrefectures","Alle prefekturer"
"","countryoptions.AllProvince","Alle provinser"
"","countryoptions.AllRegions","Alle regioner"
"","countryoptions.AllStates","Mer"
"","countryoptions.BrandMobile","<<BRAND>> Mobil"
"","countryoptions.Canton","Kanton"
"","countryoptions.ChangeCity","Endre by"
"","countryoptions.ChangeCountry","Endre land"
"","countryoptions.ChooseCountry","Velg fylke"
"","countryoptions.ChooseEmirate","Velg emirat"
"","countryoptions.ChooseProvince","Velg provins"
"","countryoptions.City","By:"
"","countryoptions.CityOrZip","By eller postnummer"
"","countryoptions.citySelect","Velg en by:"
"","countryoptions.ClickHereIfCantFindCity","Klikk her hvis du ikke finner byen din"
"","countryoptions.ClickHereToEnterACity","Klikk her for å skrive inn en by"
"","countryoptions.ClickHereToEnterAZipCodeOrCity","Klikk her for å skrive inn et postnummer eller en by"
"","countryoptions.ClickHereToSelectTheCityFromAList","Klikk her for å velge by fra en liste."
"","countryoptions.Country","Land:"
