"location","source","target"
"","biderrorbody.Description1","Due to security reasons, <<BRAND>> will limit the number of daily bids allowed per user.<br />If you want to bid on more items please contact us at "
"","biderrorbody.Hello","ಹಲೋ"
"","biderrorbody.SupportTeamEmail","http://"
"","biderrorbody.SupportTeamText","http://"
"","biderrorbody.ThankYou","ನಿಮಗೆ ಧನ್ಯವಾದಗಳು!"
"","biderrorheader.Click","ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ"
"","biderrorheader.Hello","ಹಲೋ,"
"","biderrorheader.Hello!","ಹಲೋ!"
"","biderrorheader.Help","ಸಹಾಯ"
"","biderrorheader.Home","ಹೋಮ್"
"","biderrorheader.My OLX","My OLX"
"","biderrorheader.Not_You?","ನೀವಲ್ಲ"
"","biderrorheader.Or","ಅಥವಾ"
"","biderrorheader.Post","ಪೋಸ್ಟ್"
"","biderrorheader.Register","ನೋಂದಾಯಿಸಿ"
"","buyerinfo.Buyer","ಗ್ರಾಹಕ"
"","buyerinfo.E-mail","E-mail"
"","buyerinfo.Item","ಐಟಮ್"
"","buyerinfo.OLXHomePage","Back to My OLX"
"","buyerinfo.PageTitle","ನನ್ನ OLX >> <span class=""titOLX2"">ಗ್ರಾಹಕನ ಮಾಹಿತಿ </span>"
"","buyerinfo.Price","ಬೆಲೆ"
"","countryoptions.Accept","ಸ್ವೀಕರಿಸಿ"
"","countryoptions.AllCanton","ಎಲ್ಲ ಜಿಲ್ಲೆಗಳು"
"","countryoptions.AllCities","ಎಲ್ಲ ನಗರಗಳು"
"","countryoptions.AllCounties","ಎಲ್ಲ ದೇಶಗಳು"
"","countryoptions.AllDepartaments","ಎಲ್ಲ ಇಲಾಖೆಗಳು"
"","countryoptions.AllDepartments","ಎಲ್ಲ ಇಲಾಖೆಗಳು"
"","countryoptions.AllEmirate","ಎಲ್ಲ ಎಮಿರೇಟ್‍ಗಳು"
"","countryoptions.AllLanguages","ಎಲ್ಲ ಭಾಷೆಗಳು"
"","countryoptions.AllPrefectures","ಎಲ್ಲ ಆಡಳಿತ ಪ್ರಾಂತಗಳು"
"","countryoptions.AllProvince","ಎಲ್ಲ ಪ್ರಾಂತಗಳು"
"","countryoptions.AllRegions","ಎಲ್ಲ ಪ್ರದೇಶಗಳು"
"","countryoptions.AllStates","ಹೆಚ್ಚು"
"","countryoptions.BrandMobile","<<BRAND>> ಮೊಬೈಲ್"
"","countryoptions.Canton","ಜಿಲ್ಲೆ"
"","countryoptions.ChangeCity","ನಗರವನ್ನು ಬದಲಾಯಿಸಿ"
"","countryoptions.ChangeCountry","ದೇಶವನ್ನು ಬದಲಾಯಿಸಿ"
"","countryoptions.ChooseCountry","ಕೌಂಟಿಯನ್ನು ಆಯ್ದುಕೊಳ್ಳಿ"
